normalized_name,status,start_date,end_date,mise_a_jour,date_dernier_rapport,normalized_molecule_name,atc_code,atc_class_code,atc_class_name,manufacturer
"ABACAVIR, Lamivudine, Zidovudine Viatris 300 mg/150 mg/300 mg, comprimé pelliculé",Tension,2024-01-31,2024-02-16,2024-01-31,2024-03-01,Abacavir (sulfate d') / Lamivudine / Zidovudine,J05AR04,J,Anti-infectieux à usage systémique,Viatris
"ABACAVIR, Lamivudine, Zidovudine Viatris 300 mg/150 mg/300 mg, comprimé pelliculé",Rupture,2024-02-16,,2024-02-16,2024-05-07,Abacavir (sulfate d') / Lamivudine / Zidovudine,J05AR04,J,Anti-infectieux à usage systémique,Viatris
"ABIRATERONE 500 mg, comprimé pelliculé ",Tension,2023-07-28,,2023-07-28,2023-11-10,Abiratérone,L02BX03,L,Antinéoplasiques et immunomodulateurs,0
"ABIRATERONE Arrow 500 mg, comprimé pelliculé",Tension,2023-11-27,,2024-01-19,2024-05-07,Abiratérone,L02BX03,L,Antinéoplasiques et immunomodulateurs,Arrow
"ABIRATERONE Teva 500 mg, comprimé pelliculé",Rupture,2023-11-27,,2023-11-27,2024-05-07,Abiratérone,L02BX03,L,Antinéoplasiques et immunomodulateurs,Teva
"ABIRATERONE Zentiva 500 mg, comprimé pelliculé",Tension,2023-11-27,2024-01-04,2024-01-18,2024-01-28,Abiratérone,L02BX03,L,Antinéoplasiques et immunomodulateurs,Zentiva
"ABRAXANE 5 mg/ml, poudre pour dispersion pour perfusion",Rupture,2023-01-23,2023-02-20,,2023-02-02,Paclitaxel,L01CD01,L,Antinéoplasiques et immunomodulateurs,Celgene
"ABRAXANE 5 mg/ml, poudre pour dispersion pour perfusion",Tension,2023-02-20,,2023-02-20,2023-09-27,Paclitaxel,L01CD01,L,Antinéoplasiques et immunomodulateurs,Celgene
"ACETATE DE CYPROTERONE Arrow 100 mg, comprimé sécable",Tension,2022-08-16,2023-03-10,2023-02-10,2023-03-01,Cyprotérone (acétate de),G03HA01,G,Système génito-urinaire et hormones sexuelles,Arrow
"ACETATE DE CYPROTERONE Arrow 100 mg, comprimé sécable",Rupture,2023-03-10,2023-06-07,2023-06-08,2023-06-06,Cyprotérone (acétate de),G03HA01,G,Système génito-urinaire et hormones sexuelles,Arrow
